item,status,error,sort_by,collected_at_utc,base_price,currency,n_listings,cap_hit,discount_sample_n,avg_discount,median_discount,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_n,steam_sales_7d_iqr_risk%,steam_sales_7d_band_risk%,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_turnover_proxy,steam_discount_risk_score,steam_daily_ret_3d,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,steam_daily_downside_14d_pct,trade_days,steam_trade_currency,risk_collected_at_utc
AK-47 | Aphrodite (Minimal Wear),ok,,best_deal,2026-04-17T00:32:36.971279+00:00,45.92,,50,True,8,-0.0098842031510376,-0.0050087108013937,46.38375,45.93,1/1,55.0346,52.624,51.058,51.419,54.114,55.986,49.968,197.563,309,4.896919392527611,8.95436688919334,2.8454826599993503,0.9702417148069321,6.18,-0.021216540866185102,-0.012291967474732268,-0.010261194029850818,-0.003597883652689934,-0.003494012839764693,0.07957452538036894,0.012002538998634234,7,3,2026-04-26T15:35:10.261257+00:00
AK-47 | Aquamarine Revenge (Battle-Scarred),ok,,best_deal,2026-04-17T00:32:43.053753+00:00,41.59,,50,True,8,0.011086361084951,0.00996374884462,40.8875,41.3475,1/1,41.8406,42.4255,40.297,41.4363,43.045,43.2356,26.155,44.849,64,3.84483014105916,7.023321845289028,5.0871641420056175,0.9498297014767062,1.28,-0.0326265833950961,-0.04919404251307913,-0.09014748331228584,-0.009012612530104738,-0.03207376575604859,0.11509052829861334,0.0,7,3,2026-04-26T14:46:52.606590+00:00
AK-47 | Aquamarine Revenge (Field-Tested),ok,,best_deal,2026-04-17T00:32:52.674079+00:00,42.43,,50,True,8,0.0006209828401829,0.0,43.3375,43.36125,1/1,49.5334,49.7795,46.425,48.263,51.1472,51.6206,40.061,60.365,188,5.82273778904739,10.489084133130385,6.772198153165341,0.9326128225474342,3.76,-0.05354885963706065,-0.04297576749570842,-0.08711836330575673,-0.00763416014638052,-0.034975641195746476,0.12059651684221497,0.0008551465220564568,7,3,2026-04-26T15:08:59.132337+00:00
AK-47 | Aquamarine Revenge (Minimal Wear),ok,,best_deal,2026-04-17T00:32:58.323907+00:00,73.6,,50,True,8,-0.0014349808811427,0.0004162619675314,72.48875,72.3825,1/1,88.1419,86.634,82.0961,83.3088,91.5642,94.9817,79.843,111.96,64,9.366033634400885,14.619153887084343,5.148402746026569,0.9476198721056399,1.28,-0.04576031140139932,0.0750660216410759,0.032622298544819905,0.00019151925528491733,-0.0038523862464650005,0.15473033194930547,0.08834590552379297,7,3,2026-04-26T15:16:46.132061+00:00
AK-47 | Aquamarine Revenge (Well-Worn),ok,,best_deal,2026-04-17T00:33:02.511494+00:00,37.77,,50,True,8,-0.0272900932534091,-0.0293690002523201,38.17125,37.1575,1/1,42.2811,42.506,40.702,41.85,42.802,43.407,38.46,45.269,93,2.251597049272602,6.3976575822294075,4.266681803453557,0.9575589328565378,1.86,-0.06082959062536382,-0.0013316520734882875,-0.03046666742938209,-0.001971276104425871,-0.02522217718360198,0.11960728783158685,0.010431416973473053,7,3,2026-04-26T16:05:16.565443+00:00
AK-47 | Asiimov (Field-Tested),ok,,best_deal,2026-04-17T00:33:32.182464+00:00,43.59,,50,True,8,0.0292555578484883,0.0291526480507544,49.83,51.3325,1/1,52.8289,52.998,50.0066,51.547,54.056,54.741,44.229,59.418,603,4.749294420288896,8.961761460109905,5.662430980012831,0.9435563606173818,12.06,-0.0050498884128589,-0.0027835378953465,-0.0220219119856364,-0.0007042513094217,-0.0036731676564693,0.0669164481079056,0.0443986511802172,7,3,2026-04-26T14:30:38.108759+00:00
AK-47 | Baroque Purple (Field-Tested),ok,,best_deal,2026-04-17T00:34:39.590209+00:00,6.04,,50,True,8,0.0499464544927371,0.0492063492063491,5.99125,6.30625,1/1,6.9559,6.89,6.598,6.7512,7.02,7.391,5.872,9.336,84,3.864345375867964,11.400393910205729,4.197875185094666,0.9576197387518144,1.68,0.0165303985223662,0.0283478517643585,0.0017979144192734,-0.0006055228202159,-0.003388607064532,0.0717875089734386,0.0275664034458004,7,3,2026-04-26T14:22:40.188650+00:00
AK-47 | Baroque Purple (Minimal Wear),ok,,best_deal,2026-04-17T00:34:43.973465+00:00,16.18,,50,True,8,0.0193543045725417,0.0230135529516881,16.84875,17.18,1/1,17.0489,16.486,16.444,16.4602,17.427,17.8691,15.034,27.652,72,5.67074708632228,8.358897054941963,0.2463502044120242,0.9974523838408346,1.44,0.024638599055196,0.0015187412672379,-0.0375386770973203,-0.0121346817212684,-0.0448975490960646,0.1413623680698775,0.0018803833555745,7,3,2026-04-26T14:36:54.769263+00:00
AK-47 | Blue Laminate (Factory New),ok,,best_deal,2026-04-17T00:35:58.552687+00:00,61.86,,50,True,8,0.0211534862663988,0.0125895137748585,59.76875,61.105,1/1,65.0011,64.006,59.792,61.279,69.899,71.9755,39.56,94.569,76,13.26131403930087,18.74352895566382,6.482967211324114,0.934162422272912,1.52,-0.0356481750312114,0.1291765371424529,-0.1245836931047242,-0.0218982912592476,-0.0463458617587468,0.2567125389444678,0.1143988852879932,7,3,2026-04-26T14:34:42.644174+00:00
AK-47 | Blue Laminate (Field-Tested),ok,,best_deal,2026-04-17T00:36:03.552052+00:00,16.66,,50,True,8,-0.0057190881588307,-0.0011806375442738,17.14375,17.04375,1/1,22.3437,19.151,18.427,18.732,19.965,21.3736,18.085,260.61,207,5.518334027041182,13.18760993031593,3.240286971271545,0.9621951856299932,4.14,-0.02390269549164064,-0.01034901525951748,-0.05662371652909204,-0.010987734417063482,-0.024504463536216825,0.09611588326308493,0.0187269914101264,7,3,2026-04-26T15:26:20.384359+00:00
AK-47 | Blue Laminate (Minimal Wear),ok,,best_deal,2026-04-17T00:36:08.843362+00:00,17.29,,50,True,8,-0.0045471924290417,-0.0043252595155709,17.43,17.35125,1/1,21.4425,20.841,19.495,20.055,21.645,22.371,17.094,43.588,205,7.415180132913606,13.41261513349655,6.27725311880611,0.9354157669977449,4.1,-0.05316832009514407,0.015954266032004005,-0.026874699292047555,-0.009491804648871607,-0.010420760904781834,0.14123934642369457,0.06046051702217823,7,3,2026-04-26T15:24:03.926465+00:00
